model_name,category,question_polarity,target_position,acc_race
mistralai/Mistral-7B-Instruct-v0.3,GENDER_IDENTITY,NEG,second,0.7305433186490455
mistralai/Mistral-7B-Instruct-v0.3,GENDER_IDENTITY,NEG,unknown,0.375
mistralai/Mistral-7B-Instruct-v0.3,GENDER_IDENTITY,NONNEG,first,0.5871369294605809
mistralai/Mistral-7B-Instruct-v0.3,GENDER_IDENTITY,NONNEG,second,0.585383502170767
mistralai/Mistral-7B-Instruct-v0.3,GENDER_IDENTITY,NONNEG,unknown,0.5
mistralai/Mistral-7B-Instruct-v0.3,NATIONALITY,NEG,first,0.6873385012919897
mistralai/Mistral-7B-Instruct-v0.3,NATIONALITY,NEG,second,0.7258485639686684
mistralai/Mistral-7B-Instruct-v0.3,NATIONALITY,NONNEG,first,0.6870229007633588
mistralai/Mistral-7B-Instruct-v0.3,NATIONALITY,NONNEG,second,0.6923076923076923
mistralai/Mistral-7B-Instruct-v0.3,PHYSICAL_APPEARANCE,NEG,first,0.6694915254237288
mistralai/Mistral-7B-Instruct-v0.3,PHYSICAL_APPEARANCE,NEG,second,0.6728110599078341
mistralai/Mistral-7B-Instruct-v0.3,PHYSICAL_APPEARANCE,NONNEG,first,0.637883008356546
mistralai/Mistral-7B-Instruct-v0.3,PHYSICAL_APPEARANCE,NONNEG,second,0.6410256410256411
mistralai/Mistral-7B-Instruct-v0.3,RACE_ETHNICITY,NEG,first,0.7673179396092362
mistralai/Mistral-7B-Instruct-v0.3,RACE_ETHNICITY,NEG,second,0.7567104511707595
mistralai/Mistral-7B-Instruct-v0.3,RACE_ETHNICITY,NONNEG,first,0.6482326111744584
mistralai/Mistral-7B-Instruct-v0.3,RACE_ETHNICITY,NONNEG,second,0.6577698695136418
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_GENDER,NEG,first,0.8011785805790418
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_GENDER,NEG,second,0.7836644591611479
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_GENDER,NONNEG,first,0.6836528758829465
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_GENDER,NONNEG,second,0.7059262948207171
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_SES,NEG,first,0.7869415807560137
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_SES,NEG,second,0.7475465313028765
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_SES,NEG,unknown,0.8333333333333334
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_SES,NONNEG,first,0.6584103512014787
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_SES,NONNEG,second,0.6350644823980481
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_SES,NONNEG,unknown,1.0
mistralai/Mistral-7B-Instruct-v0.3,RELIGION,NEG,first,0.6538461538461539
mistralai/Mistral-7B-Instruct-v0.3,RELIGION,NEG,second,0.6597222222222222
mistralai/Mistral-7B-Instruct-v0.3,RELIGION,NONNEG,first,0.5915032679738562
mistralai/Mistral-7B-Instruct-v0.3,RELIGION,NONNEG,second,0.5850340136054422
mistralai/Mistral-7B-Instruct-v0.3,SES,NEG,first,0.7837837837837838
mistralai/Mistral-7B-Instruct-v0.3,SES,NEG,second,0.8012600229095075
mistralai/Mistral-7B-Instruct-v0.3,SES,NONNEG,first,0.7060535506402794
mistralai/Mistral-7B-Instruct-v0.3,SES,NONNEG,second,0.7104046242774567
mistralai/Mistral-7B-Instruct-v0.3,SEXUAL_ORIENTATION,NEG,first,0.6261261261261262
mistralai/Mistral-7B-Instruct-v0.3,SEXUAL_ORIENTATION,NEG,second,0.6190476190476191
mistralai/Mistral-7B-Instruct-v0.3,SEXUAL_ORIENTATION,NONNEG,first,0.5136363636363637
mistralai/Mistral-7B-Instruct-v0.3,SEXUAL_ORIENTATION,NONNEG,second,0.5566037735849056
