model_name,category,context_condition_3,acc_arc,acc_race
mistralai/Mistral-7B-Instruct-v0.3,PHYSICAL_APPEARANCE,DISAMBIG_ANTI,0.12154696132596685,0.5414364640883977
mistralai/Mistral-7B-Instruct-v0.3,PHYSICAL_APPEARANCE,DISAMBIG_STEREO,0.19248826291079812,0.528169014084507
mistralai/Mistral-7B-Instruct-v0.3,RACE_ETHNICITY,AMBIG,0.6703488372093023,0.7188953488372093
mistralai/Mistral-7B-Instruct-v0.3,RACE_ETHNICITY,DISAMBIG_ANTI,0.14767441860465116,0.6790697674418604
mistralai/Mistral-7B-Instruct-v0.3,RACE_ETHNICITY,DISAMBIG_STEREO,0.17093023255813952,0.7127906976744186
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_GENDER,AMBIG,0.7463659147869675,0.768170426065163
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_GENDER,DISAMBIG_ANTI,0.13353413654618473,0.7136044176706827
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_GENDER,DISAMBIG_STEREO,0.11911911911911911,0.7242242242242243
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_SES,AMBIG,0.7403225806451613,0.7403225806451613
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_SES,DISAMBIG_ANTI,0.1053763440860215,0.6473118279569893
mistralai/Mistral-7B-Instruct-v0.3,RACE_X_SES,DISAMBIG_STEREO,0.15268817204301074,0.6978494623655914
mistralai/Mistral-7B-Instruct-v0.3,RELIGION,AMBIG,0.7,0.6883333333333334
mistralai/Mistral-7B-Instruct-v0.3,RELIGION,DISAMBIG_ANTI,0.09333333333333334,0.51
mistralai/Mistral-7B-Instruct-v0.3,RELIGION,DISAMBIG_STEREO,0.2,0.6033333333333334
mistralai/Mistral-7B-Instruct-v0.3,SES,AMBIG,0.7057109557109557,0.7753496503496503
mistralai/Mistral-7B-Instruct-v0.3,SES,DISAMBIG_ANTI,0.1214622641509434,0.6845518867924528
mistralai/Mistral-7B-Instruct-v0.3,SES,DISAMBIG_STEREO,0.16798642533936653,0.7652714932126696
mistralai/Mistral-7B-Instruct-v0.3,SEXUAL_ORIENTATION,AMBIG,0.7361111111111112,0.6967592592592593
mistralai/Mistral-7B-Instruct-v0.3,SEXUAL_ORIENTATION,DISAMBIG_ANTI,0.10185185185185185,0.42592592592592593
mistralai/Mistral-7B-Instruct-v0.3,SEXUAL_ORIENTATION,DISAMBIG_STEREO,0.12962962962962962,0.49537037037037035
